image_name,pull_count,star_count,categories
memcached,1B+,2449,databases-and-storage
redis,1B+,13567,databases-and-storage
postgres,1B+,14894,databases-and-storage
mysql,1B+,16121,databases-and-storage
mongo,1B+,10723,databases-and-storage
mariadb,1B+,6097,databases-and-storage
registry,1B+,4191,databases-and-storage
influxdb,1B+,2005,data-science;databases-and-storage;internet-of-things
elasticsearch,500M+,6595,databases-and-storage
adminer,100M+,976,databases-and-storage
solr,100M+,1010,databases-and-storage
zookeeper,100M+,1492,databases-and-storage
neo4j,100M+,1379,databases-and-storage
mongo-express,100M+,1530,databases-and-storage
cassandra,100M+,1600,databases-and-storage
percona,100M+,648,databases-and-storage
couchdb,100M+,596,databases-and-storage
couchbase,50M+,930,databases-and-storage
phpmyadmin,50M+,1141,databases-and-storage;developer-tools
rethinkdb,50M+,638,databases-and-storage
grafana/loki,1B+,328,databases-and-storage;integration-and-delivery;monitoring-and-observability
arangodb,10M+,293,databases-and-storage
crate,10M+,229,databases-and-storage
aerospike,10M+,147,databases-and-storage
orientdb,10M+,189,databases-and-storage
cimg/postgres,500M+,9,databases-and-storage;integration-and-delivery;security
localstack/localstack,100M+,345,api-management;databases-and-storage;integration-and-delivery
google/cloud-sdk,100M+,452,data-science;databases-and-storage;integration-and-delivery
amazon/dynamodb-local,100M+,485,databases-and-storage;integration-and-delivery
grafana/mimir,100M+,22,databases-and-storage;integration-and-delivery;monitoring-and-observability
cimg/redis,100M+,2,databases-and-storage;integration-and-delivery
opensearchproject/opensearch,100M+,196,databases-and-storage;machine-learning-and-ai;monitoring-and-observability
redislabs/redis,100M+,46,databases-and-storage;monitoring-and-observability;security
victoriametrics/victoria-metrics,50M+,64,databases-and-storage;monitoring-and-observability
clickhouse,1M+,50,databases-and-storage
bitnamicharts/redis,50M+,37,databases-and-storage;message-queues;monitoring-and-observability
bitnamicharts/postgresql,10M+,5,databases-and-storage;integration-and-delivery;security
hashicorp/vault-csi-provider,10M+,4,databases-and-storage;integration-and-delivery;security
docker/ucp-auth-store,10M+,0,databases-and-storage;security
docker/ucp-etcd,10M+,0,databases-and-storage;security
redis/redis-stack-server,10M+,102,databases-and-storage;monitoring-and-observability;security
ravendb/ravendb,10M+,54,databases-and-storage
victoriametrics/vmstorage,10M+,8,databases-and-storage;monitoring-and-observability
redislabs/redisinsight,10M+,117,databases-and-storage;monitoring-and-observability
mongodb/mongodb-community-server,10M+,185,databases-and-storage;integration-and-delivery
victoriametrics/vmselect,10M+,6,databases-and-storage;monitoring-and-observability
victoriametrics/vminsert,10M+,2,databases-and-storage;monitoring-and-observability
redis/redis-stack,10M+,160,data-science;databases-and-storage;message-queues
semitechnologies/weaviate,10M+,54,databases-and-storage;machine-learning-and-ai
grafana/mimirtool,10M+,0,databases-and-storage;monitoring-and-observability;security
bitnamicharts/thanos,10M+,1,databases-and-storage;monitoring-and-observability
bitnamicharts/mariadb,10M+,0,data-science;databases-and-storage;security
bitnamicharts/minio,10M+,5,data-science;databases-and-storage;machine-learning-and-ai
google/docker-registry,10M+,58,databases-and-storage;integration-and-delivery;security
pingidentity/pingdirectory,10M+,56,databases-and-storage;integration-and-delivery;security
docker/desktop-kubernetes-etcd,10M+,4,databases-and-storage;integration-and-delivery;security
bitnamicharts/mongodb,5M+,2,data-science;databases-and-storage;machine-learning-and-ai
k8ssandra/medusa,5M+,2,databases-and-storage;integration-and-delivery;security
bitnamicharts/mysql,5M+,1,databases-and-storage;integration-and-delivery;security
hashicorp/vault-enterprise,5M+,14,databases-and-storage;integration-and-delivery;security
datastax/dse-server,5M+,44,databases-and-storage
camunda/operate,5M+,9,databases-and-storage;integration-and-delivery;monitoring-and-observability
mongodb/mongodb-atlas-local,5M+,12,databases-and-storage
bitnamicharts/zookeeper,5M+,3,databases-and-storage;monitoring-and-observability;networking
bitnamicharts/memcached,5M+,0,databases-and-storage;monitoring-and-observability;security
bitnamicharts/etcd,5M+,1,databases-and-storage;integration-and-delivery
redislabs/operator-internal,5M+,1,databases-and-storage;integration-and-delivery;monitoring-and-observability
bitnamicharts/valkey,5M+,3,databases-and-storage;monitoring-and-observability
bitnamicharts/elasticsearch,5M+,1,databases-and-storage;integration-and-delivery;monitoring-and-observability
bitnamicharts/harbor,5M+,8,databases-and-storage;integration-and-delivery;security
bitnamicharts/clickhouse,5M+,1,data-science;databases-and-storage;web-analytics
mongodb/mongodb-enterprise-server,5M+,15,databases-and-storage;integration-and-delivery;security
k8ssandra/cass-management-api,5M+,2,api-management;databases-and-storage;integration-and-delivery
bitnamicharts/grafana-loki,5M+,0,databases-and-storage;monitoring-and-observability
bitnamicharts/redis-cluster,1M+,3,databases-and-storage;message-queues;monitoring-and-observability
rancher/storage-secrets,1M+,0,databases-and-storage;integration-and-delivery;security
docker/dtr,1M+,18,databases-and-storage;integration-and-delivery;security
appdynamics/db-agent,1M+,2,databases-and-storage;monitoring-and-observability
redis/redisinsight,1M+,51,databases-and-storage
ravendb/ravendb-nightly,1M+,1,databases-and-storage
k8ssandra/system-logger,1M+,0,databases-and-storage;integration-and-delivery;monitoring-and-observability
