image_name,pull_count
ubuntu,9556638860
ubuntu/squid,24315830
ubuntu/nginx,12479004
ubuntu/bind9,2074204
ubuntu/prometheus,1914036
ubuntu/apache2,1979980
ubuntu/cortex,4252721
ubuntu/mysql,977207
ubuntu/kafka,2204002
ubuntu/zookeeper,1416712
ubuntu/postgres,712908
ubuntu/dotnet-aspnet,275709
ubuntu/redis,474660
ubuntu/jre,288274
ubuntu/cassandra,52991
ubuntu/python,77763
ubuntu/dotnet-runtime,69705
ubuntu/grafana,146263
ubuntu/dotnet-deps,80481
ubuntu/memcached,102269
ubuntu/prometheus-alertmanager,80329
ubuntu/mlflow,26416
ubuntu/telegraf,18407
ubuntu/loki,12574
ubuntu/chiselled-jre,7092
ubuntu/alertmanager,6534
ubuntu/grafana-agent,6326
ubuntu/mimir,6032
ubuntu/traefik,4330
ubuntu/kiali,1503
ubuntu/prometheus-pushgateway,4665
ubuntu/hydra,2092
ubuntu/identity-platform-login-ui,1096
ubuntu/tempo,1972
ubuntu/istio-install-cni,1044
ubuntu/glauth,2421
ubuntu/opentelemetry-collector,1511
ubuntu/karma,1220
ubuntu/kratos,1640
ubuntu/istio-pilot,1167
ubuntu/metrics-proxy,1289
ubuntu/identity-platform-admin-ui,1019
ubuntu/parca,709
ubuntu/istio-ztunnel,1105
ubuntu/valkey,644
ubuntu/xk6,919
ubuntu/node,421
ubuntu/openfga,342
ubuntu/blackbox-exporter,113
ubuntu/git-sync,119
ubuntu/rabbitmq,97
ubuntu/nginx-prometheus-exporter,101
ubuntu/node-exporter,98
corpusops/ubuntu,131481
antrea/ubuntu,59930
rootpublic/ubuntu,905
vulhub/ubuntu,4741
lancachenet/ubuntu,2122
pufferpanel/ubuntu,1883
roche/ubuntu,62
gmao/ubuntu,116
i386/ubuntu,12555959
bertiew/ubuntu,37514949
owncloud/ubuntu,5766226
amd64/ubuntu,6570121
arm64v8/ubuntu,3898647
arm32v7/ubuntu,3191271
tutum/ubuntu,2134428
smartentry/ubuntu,959297
ossobv/ubuntu,1428604
pandaman666/ubuntu,1026654
ppc64le/ubuntu,1777835
bdfoster/ubuntu,559436
rustdocker/ubuntu,723359
nuagebec/ubuntu,1019002
s390x/ubuntu,948596
catthehacker/ubuntu,2244164
libmesos/ubuntu,1787115
darksheer/ubuntu,337418
run234/ubuntu,1325313
akhilrajmailbox/ubuntu,168433
myegorov/ubuntu,1168397
stackbrew/ubuntu,213107
churun/ubuntu,892157
barebuild/ubuntu,896234
webhippie/ubuntu,154260
lsiobase/ubuntu,809133
buluma/ubuntu,230577
gns3/ubuntu,134804
konstruktoid/ubuntu,91775
accupara/ubuntu,118116
aitravel/ubuntu,436507
asappinc/ubuntu,84032
litmusimage/ubuntu,403645
32bit/ubuntu,79022
dhollerbach/ubuntu,350001
jmartin7/ubuntu,334663
bmoorman/ubuntu,70037
ukaea/ubuntu,108886
aarch64/ubuntu,128155
nginx,12273389494
nginx/nginx-ingress,1081584532
nginx/nginx-prometheus-exporter,82739486
nginx/unit,12241955
nginx/nginx-ingress-operator,1078382
nginx/nginx-quic-qns,19131
nginx/nginxaas-loadbalancer-kubernetes,5417
nginx/unit-preview,4658
bitnami/nginx,427683179
bitnamicharts/nginx,3245907
rancher/nginx,16078976
kasmweb/nginx,2440964
linuxserver/nginx,70576154
dtagdevsec/nginx,1384886
vmware/nginx,111431
paketobuildpacks/nginx,5297572
chainguard/nginx,37113
intel/nginx,19631
gluufederation/nginx,110265
droidwiki/nginx,508836
circleci/nginx,14559
corpusops/nginx,230230
antrea/nginx,53739
docksal/nginx,26138
uselagoon/nginx,92729
vulhub/nginx,50012
geokrety/nginx,12112
islandora/nginx,47639
eclipsefdn/nginx,46905
dockette/nginx,10305
treehouses/nginx,29629
ilios/nginx,10580
wayofdev/nginx,6246
rootpublic/nginx,1170
okteto/nginx,524
openeuler/nginx,1449
